,min_num_neighbors,epsilon,num_clusters,score
0,12,0.7,16,0.122102840947
1,13,0.7,13,0.144500664317
2,14,0.7,12,0.126907118436
3,15,0.7,10,0.143580018086
4,16,0.7,7,0.161530048323
5,17,0.7,6,0.162145401776
6,18,0.7,5,0.157733094723
7,19,0.7,4,0.162856564548
8,20,0.7,5,0.133498536778
9,21,0.7,5,0.144797716413
10,12,0.8,22,0.0897199536612
11,13,0.8,17,0.173845580541
12,14,0.8,14,0.279580706118
13,15,0.8,10,0.313203098733
14,16,0.8,9,0.293774082275
15,17,0.8,7,0.310245848959
16,18,0.8,6,0.366389567564
17,19,0.8,6,0.532427328724
18,20,0.8,6,0.535341322886
19,21,0.8,7,0.526317076437
20,12,0.9,23,0.057232046954
21,13,0.9,21,0.0794908017798
22,14,0.9,18,0.143194416171
23,15,0.9,16,0.157435148461
24,16,0.9,15,0.155794851493
25,17,0.9,14,0.164359055854
26,18,0.9,13,0.314078721255
27,19,0.9,12,0.323513284931
28,20,0.9,14,0.258746866479
29,21,0.9,9,0.566904127001
30,12,1.0,25,0.131675959338
31,13,1.0,20,0.147922020169
32,14,1.0,17,0.168858706541
33,15,1.0,17,0.150103841704
34,16,1.0,16,0.194169433023
35,17,1.0,15,0.16970078422
36,18,1.0,14,0.179412487036
37,19,1.0,13,0.231714338954
38,20,1.0,10,0.290739830226
39,21,1.0,9,0.294642269376
40,12,1.1,27,-0.0161135721918
41,13,1.1,18,0.133639168417
42,14,1.1,14,0.154716383062
43,15,1.1,13,0.107818248539
44,16,1.1,13,0.136859250879
45,17,1.1,14,0.125945869434
46,18,1.1,14,0.180929039686
47,19,1.1,12,0.22223292614
48,20,1.1,10,0.238235299797
49,21,1.1,12,0.203175268308
50,12,1.2,28,-0.172815987581
51,13,1.2,21,-0.101131598669
52,14,1.2,17,-0.0292636182742
53,15,1.2,16,-0.0451592609224
54,16,1.2,15,-0.0491582362323
55,17,1.2,13,0.269585952252
56,18,1.2,11,0.280551861791
57,19,1.2,10,0.319600041226
58,20,1.2,9,0.412171361192
59,21,1.2,7,0.431432657379
60,12,1.3,29,-0.138487299985
61,13,1.3,25,-0.132116886867
62,14,1.3,18,-0.0813950278422
63,15,1.3,15,-0.0230577119021
64,16,1.3,15,-0.0451050294135
65,17,1.3,11,0.0491116453658
66,18,1.3,11,-0.0162670380816
67,19,1.3,10,-0.0489720683841
68,20,1.3,10,-0.0730063172313
69,21,1.3,10,0.0470445216162
70,12,1.4,18,-0.0507920649974
71,13,1.4,14,0.00146571094869
72,14,1.4,14,0.0316035914366
73,15,1.4,12,0.0120442827108
74,16,1.4,11,-0.0109861715129
75,17,1.4,10,0.0329662580307
76,18,1.4,9,0.0674275692338
77,19,1.4,9,0.12955220156
78,20,1.4,10,0.00809033617069
79,21,1.4,9,0.0399175497608
